NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,Q006,Q025
160000301384,PB,23,M,3,550,629.4,574,462.9,580,2,B,B
160000000001,PR,20,M,1,576.6,669.8,610.1,423.6,560,5,D,B
160000000002,BA,21,M,3,485.8,576.9,637.4,414.6,480,3,D,B
160000000003,PA,17,M,1,571.4,628.6,646.2,709.4,620,5,B,B
160000000004,DF,36,F,1,,,,,,20,A,A
160000000005,CE,20,M,3,556.9,537.3,585.1,708.1,600,3,B,B
160000000006,CE,41,M,3,629.2,644.7,,,,4,B,B
160000000007,CE,19,F,1,734.3,698.1,650.4,798.7,980,4,J,B
160000427444,SP,27,F,1,,,,,,3,F,B
160000427445,SP,23,F,3,392.4,474.6,469.9,422.5,580,2,B,B
160000427446,RJ,19,M,3,443.9,484.2,514.7,404.6,400,2,C,A
160000427447,RN,26,F,3,,,,,,3,C,B
160000427448,ES,30,M,1,,,,,,3,G,B
160000427449,RN,29,M,1,460.1,582.1,585,551.6,480,3,M,B
160000427450,MG,17,F,3,,,,,,2,C,B
160000427451,PE,60,F,1,440.6,439.7,434.1,367.5,340,4,D,B
160000427452,ES,16,F,3,632.7,648.1,602.5,722.5,760,3,H,B
160000427453,DF,17,M,1,871.3,859.1,,,,3,Q,B
160000427454,MS,20,F,1,646.5,577.8,592.8,662.7,820,3,F,B
160000427455,PB,26,F,3,,,,,,5,F,B
160000427456,GO,18,F,1,610.3,626.9,594.2,509.9,480,2,B,B
160000427457,RJ,21,F,2,637.4,661.4,630.8,543,720,6,H,B
160000427458,CE,18,M,3,564.1,630.2,602.3,730.6,800,5,C,B
160000427459,BA,26,M,1,,,,,,3,B,B
160000427460,SP,31,F,1,,,,,,5,C,A
160000427461,PE,20,F,2,517.3,529.9,450.1,529.7,540,3,B,B
160000427462,SE,24,M,3,446.1,544.2,500.5,599.3,580,6,B,A
160000427463,MT,23,F,1,521.7,605.2,566.3,449,700,1,C,A
160000427464,SP,23,F,1,478.2,578.7,585.4,443.6,480,4,E,A
160000427465,PA,31,F,3,,,,,,2,M,B
160000427466,PI,20,F,1,418.6,536.1,564.7,488.3,560,4,D,A
160000427467,RS,17,F,1,598.3,619.1,525.6,611.9,720,3,D,B
160000427468,SP,20,F,1,422,544.9,629.2,513.6,620,2,D,B
160000427469,AL,26,M,3,467.3,602.5,597,563.5,680,3,I,B
160000427470,RJ,22,F,1,675.8,625.9,645.5,597.5,800,4,F,B
160000427471,PR,25,M,1,687.1,637.8,594.9,870.5,720,2,I,B
160000427472,MG,20,F,1,660.3,671.6,607.9,710.2,840,4,G,B
160000427473,SP,26,F,1,,,,,,6,E,B
160000427474,PR,28,F,1,405.9,556.5,546.7,431.2,420,2,E,A
160008492987,MG,23,M,3,487.3,608,590.7,374.2,540,4,G,B
160000427475,BA,21,M,2,541.7,557.7,526.4,360.5,700,2,E,B
160000427476,CE,22,F,1,675.1,666.3,647.1,827.1,760,5,D,B
160000427477,MG,22,F,1,,,,,,2,D,B
160000427478,GO,21,M,3,625.9,634.3,533.2,623.5,760,4,G,B
160000427479,SP,18,F,1,,,,,,4,D,B
160000427480,SP,20,M,1,,,,,,4,E,B
160000427481,RJ,29,M,3,415.6,513.6,524.2,442.6,460,2,B,B
160000427482,CE,32,M,1,,,,,,4,H,B
160000427483,SP,28,M,1,563.2,637,643,482.8,380,5,E,B
160000427484,DF,21,F,4,,,,,,1,B,B
160000427485,MG,23,M,3,,,,,,4,D,A
160000427486,AL,19,M,3,660.4,668.8,632.1,674.1,740,4,F,B
160000427487,RJ,20,F,3,662.9,614.6,606.1,704.3,780,4,B,B
160000427488,TO,21,M,4,,,,,,3,G,A
160000427489,CE,18,F,1,455.3,445.6,471,431,500,4,B,B
160000427490,CE,30,F,4,523.9,644.7,608.9,591.3,620,3,B,A
160000427491,RJ,57,F,3,,,,,,2,C,B
160008576953,DF,20,M,1,526.7,543.6,552.6,350,440,4,D,B
160000427492,SP,40,M,1,565,605.2,,,,5,I,B
160000427493,SP,26,F,1,582,706.4,663.1,568.4,660,1,F,B
160000427494,RS,21,F,1,582.4,559.7,561.6,407.4,620,3,E,B
160008622085,ES,18,M,3,614.5,612.1,579.8,787.7,520,4,O,B
160000427495,RJ,22,F,1,,,,,,2,D,B
160000427496,PE,24,M,3,740.5,697.2,644.5,869.6,760,4,P,B
160000427497,RS,22,F,1,,,,,,3,C,B
160000430825,CE,19,F,1,593.1,605.2,593.8,655.6,680,5,Q,B
160000430826,MG,21,F,1,616.8,684.5,618.5,737.6,880,3,K,B
160000430827,MG,23,F,2,456.1,527.2,570.8,539.3,680,3,E,A
160000430828,CE,19,M,3,479.2,592.3,565,376.7,520,4,C,B
160000430829,SP,18,F,1,532.5,596.4,599,557.2,540,5,J,B
160000430830,RN,22,M,1,446.1,553.1,484.4,460.3,520,6,G,B
160000430831,MG,22,F,2,,,,,,6,H,B
160000430832,SP,18,M,2,445.5,624.5,544.1,516.5,880,5,D,B
160000430833,RS,20,F,1,649.9,634.5,601.4,802.9,880,1,J,B
160000430834,SP,24,M,1,593.9,656.7,618.6,658.1,740,2,F,B
160000430835,RJ,19,F,3,433.5,569,548.7,452.5,580,5,B,B
160000430836,CE,18,M,3,708.5,757.8,717.7,773.5,960,4,C,B
160000430837,SE,21,F,5,541.8,616.5,578.8,446.6,800,4,J,B
160000430838,MG,31,F,2,,,,,,3,E,B
160000430839,SP,28,F,1,571.6,615.6,606.5,474.4,680,4,H,B
160000430840,GO,22,M,3,,,,,,4,C,B
160000430841,MG,26,M,1,631.3,642.6,,,,3,E,B
160000430842,SP,19,F,3,,,,,,5,D,A
160000430843,RS,18,F,1,414.3,478.7,515.4,435.9,560,3,C,B
160000430844,PR,26,F,3,,,,,,2,E,A
160000430845,SP,20,F,1,520.6,580.3,566.3,603.5,620,5,F,B
160000430846,SP,19,M,1,642.7,664.6,585.6,923.4,760,3,I,B
